"","I listen to tapes or CDs","I look around in the shops","I read comics, mags or books","I go to sport matches","I take part in sports","I hang round in the streets","I play computer games","I spend time on my hobby (eg art, an instrument)","I go to something like B.B., Guides or Scouts","I go to cinema","I go to pop concerts, gigs","I go to church, mosque or temple","I look after a pet animal","I go to dance clubs or raves","I do nothing much (am bored)"
"s001",1,2,1,4,2,1,2,2,2,2,4,2,4,3,4
"s002",4,3,4,3,1,4,2,2,4,3,4,4,4,4,3
"s003",1,2,2,4,4,1,1,4,4,3,4,4,4,4,1
"s004",1,2,1,4,2,1,2,4,4,3,4,4,4,4,4
"s005",1,1,1,1,1,1,1,4,2,3,3,4,1,4,4
"s006",1,3,1,4,4,2,2,1,4,2,3,4,4,4,4
"s007",1,2,1,4,4,4,4,2,2,3,4,4,1,4,2
"s008",1,1,1,1,4,4,1,2,4,3,4,4,4,4,4
"s009",1,2,1,3,2,1,1,2,2,3,4,3,1,4,4
"s010",1,1,4,1,1,1,4,1,4,2,4,4,1,4,4
"s011",1,2,2,4,1,4,2,1,4,3,4,4,1,4,4
"s012",1,2,2,4,2,1,4,4,4,3,3,4,4,4,4
"s013",1,2,3,4,2,1,2,1,4,4,4,4,2,4,4
"s014",1,2,2,2,2,3,2,2,1,2,3,4,1,2,4
"s015",1,1,1,4,2,1,4,4,4,4,4,4,1,4,4
"s016",1,2,3,4,2,1,2,4,4,4,4,4,1,4,4
"s017",1,2,4,4,4,4,1,4,2,2,1,4,1,4,1
"s018",1,1,2,4,4,4,1,4,4,2,4,4,4,4,4
"s019",1,2,1,2,1,1,1,2,2,4,4,2,2,4,4
"s020",2,3,1,4,2,4,2,1,4,2,4,4,1,4,2
"s021",3,3,2,4,4,4,2,4,4,2,4,4,2,4,1
"s022",1,2,1,2,1,1,1,2,4,3,4,4,2,4,4
"s023",1,4,1,4,4,4,1,1,4,4,4,2,1,4,4
"s024",1,2,2,3,1,4,1,1,4,3,4,4,1,4,4
"s025",1,2,1,4,4,1,1,2,2,2,4,4,1,3,4
"s026",1,1,4,4,2,4,1,3,4,3,4,3,4,4,4
"s027",1,2,1,4,1,2,1,1,4,3,3,4,1,3,4
"s028",1,2,1,3,2,1,1,4,4,2,3,4,1,3,1
"s029",4,2,4,2,3,1,4,4,4,3,3,4,4,3,4
"s030",1,1,2,4,4,1,4,4,4,2,3,4,1,2,4
"s031",1,1,1,1,1,4,1,1,4,2,4,4,4,4,4
"s032",4,1,1,2,1,4,1,1,2,3,4,2,4,4,4
"s033",1,2,2,4,2,1,4,4,4,3,4,4,4,3,4
"s034",1,1,1,4,1,1,2,4,4,3,4,4,4,4,4
"s035",1,1,1,3,1,2,1,1,2,3,4,2,4,4,4
"s036",1,2,2,2,1,1,4,2,4,4,4,4,1,4,3
"s037",1,2,2,4,2,4,1,1,4,2,4,4,1,4,4
"s038",1,4,3,4,4,4,1,3,4,3,4,4,1,4,4
"s039",1,2,1,4,4,3,1,2,2,3,4,4,1,3,4
"s040",1,2,1,3,1,2,1,2,4,3,4,4,4,3,1
"s041",1,2,1,3,3,1,4,4,4,3,4,4,4,3,4
"s042",1,2,4,2,2,1,2,4,4,3,4,4,4,4,4
"s043",1,2,2,4,2,2,3,2,4,3,4,4,1,4,2
"s044",1,2,2,3,1,1,3,4,1,3,4,2,1,4,3
"s045",1,2,1,3,2,2,2,1,2,3,4,3,1,3,4
"s046",1,2,2,4,2,4,2,2,4,2,4,4,4,2,4
"s047",4,1,1,4,1,1,4,4,4,4,4,2,1,4,4
"s048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s049",2,2,4,2,1,1,2,4,4,3,4,1,4,4,1
"s050",1,2,1,3,1,2,1,2,4,3,4,4,2,4,4
"s051",4,4,2,4,1,1,1,4,1,4,4,4,1,4,4
"s052",1,2,1,4,2,1,2,4,2,3,4,4,4,4,1
"s053",1,2,1,4,2,4,1,1,4,3,4,4,1,4,2
"s054",1,2,1,1,1,4,1,4,4,3,3,2,1,4,4
"s055",1,2,1,4,2,4,2,1,4,3,4,4,1,4,4
"s056",1,2,1,4,2,4,1,4,2,4,4,4,1,4,4
"s057",1,2,4,2,1,1,2,4,4,3,4,4,4,3,4
"s058",1,2,2,3,1,1,1,4,1,3,4,4,1,4,3
"s059",1,2,1,4,2,4,2,4,4,3,4,4,1,3,1
"s060",1,2,4,2,2,1,4,1,2,3,3,4,1,1,4
"s061",1,2,1,2,2,4,1,1,2,2,4,4,1,4,4
"s062",1,4,4,2,1,1,4,4,4,3,4,4,2,4,4
"s063",1,2,2,4,2,1,4,4,4,3,4,4,4,1,4
"s064",1,1,2,4,1,1,2,4,4,3,1,4,1,1,4
"s065",2,3,3,4,3,1,4,4,NA,4,4,NA,4,3,4
"s066",1,2,1,3,2,4,4,3,4,3,4,4,4,4,4
"s067",1,2,3,1,1,2,2,3,4,3,4,4,4,3,4
"s068",1,3,1,4,4,4,1,1,4,4,4,4,4,4,4
"s069",1,1,2,2,1,4,1,4,4,2,4,4,4,4,4
"s070",1,2,1,4,3,2,3,1,2,4,4,4,1,4,4
"s071",1,2,2,2,1,1,1,4,4,3,4,4,4,3,4
"s072",1,2,1,3,1,1,2,2,4,2,3,4,4,3,4
"s073",1,2,4,3,2,1,2,4,4,3,3,4,1,3,4
"s074",1,2,1,4,2,1,2,1,4,3,3,4,4,3,4
"s075",1,2,2,2,1,1,1,4,2,2,4,4,4,4,4
"s076",1,2,3,2,2,2,1,3,4,3,4,4,4,4,4
"s077",1,2,3,2,1,1,3,2,4,3,4,4,4,4,4
"s078",1,2,3,2,2,1,1,2,2,3,4,2,1,3,4
"s079",1,4,4,2,2,1,1,4,2,2,4,4,1,3,4
"s080",1,2,1,4,2,2,1,1,4,3,3,4,1,4,4
"s081",1,1,1,2,1,2,1,2,2,3,3,4,4,3,4
"s082",1,2,2,2,1,1,4,2,4,2,3,4,1,3,4
"s083",1,2,1,4,1,2,4,1,1,4,4,2,4,4,4
"s084",1,2,1,2,2,2,1,2,2,2,4,4,4,4,2
"s085",1,4,1,4,2,4,1,1,1,3,3,4,1,3,4
"s086",1,1,1,3,2,2,3,2,4,3,4,4,4,4,4
"s087",1,2,1,4,1,1,2,2,4,2,4,4,2,4,4
"s088",1,2,4,3,1,2,1,1,4,2,4,4,1,3,4
"s089",1,1,1,3,1,1,1,4,2,2,3,4,1,2,4
"s090",1,2,1,2,1,4,1,4,4,4,4,4,1,4,4
"s091",1,1,1,4,1,1,1,1,2,1,1,4,1,4,4
"s092",4,4,4,3,2,4,2,1,1,4,3,4,1,2,4
"s093",1,2,1,3,1,1,4,1,4,2,3,4,1,4,4
"s094",1,2,1,1,1,4,1,1,3,1,2,4,3,1,4
"s095",1,2,1,4,4,4,2,1,2,3,4,2,4,4,4
"s096",1,2,2,4,2,2,1,2,1,3,4,4,1,NA,3
"s097",1,2,1,4,2,4,2,2,4,3,4,4,1,4,2
"s098",1,2,1,4,2,1,1,2,4,3,4,4,1,4,4
"s099",1,2,3,3,2,1,2,3,4,3,4,4,3,3,4
"s100",1,1,2,4,3,4,1,2,4,4,3,4,1,4,3
"s101",1,2,1,1,1,1,1,2,2,3,4,3,1,4,4
"s102",1,1,2,4,1,1,1,4,4,1,4,2,4,3,4
"s103",1,2,1,2,1,4,1,2,2,2,3,2,1,4,4
"s104",1,2,1,3,1,2,2,1,2,3,3,2,1,2,4
"s105",1,1,1,4,2,3,2,4,4,3,4,4,2,4,3
"s106",1,3,2,3,2,3,2,2,2,3,4,4,4,4,2
"s107",1,2,1,4,2,1,2,1,4,3,4,4,4,4,2
"s108",1,1,1,3,1,2,1,2,1,3,4,2,4,4,2
"s109",1,1,2,1,2,4,1,2,4,1,2,4,1,3,4
"s110",1,4,2,2,1,4,1,1,2,3,4,4,1,1,4
"s111",1,3,3,2,2,1,1,1,4,2,3,4,1,3,4
"s112",1,2,1,4,1,2,1,4,2,3,4,4,4,4,4
"s113",1,2,2,4,2,4,4,2,4,3,4,4,4,4,4
"s114",1,2,2,4,2,4,4,2,4,3,3,2,4,4,4
"s115",1,1,1,1,1,1,2,4,1,2,3,4,1,2,4
"s116",1,1,1,3,2,4,1,1,2,4,4,2,4,4,2
"s117",2,1,2,2,1,1,2,1,4,2,4,4,2,3,4
"s118",1,2,1,2,2,1,1,4,4,2,4,4,1,4,4
"s119",1,4,1,1,1,4,2,1,2,3,4,2,1,4,4
"s120",1,2,1,2,1,1,2,4,2,3,4,4,1,4,4
"s121",1,1,1,3,1,2,2,1,4,3,3,2,1,3,4
"s122",1,4,4,2,1,1,4,4,1,2,4,4,4,3,4
"s123",1,1,2,4,1,1,4,2,4,3,4,4,1,4,4
"s124",1,2,2,4,1,4,1,2,4,3,4,4,NA,4,4
"s125",1,2,3,4,3,4,3,1,4,2,4,4,1,NA,1
"s126",1,2,1,4,1,1,4,4,4,4,4,4,1,3,4
"s127",2,2,1,3,1,4,2,2,4,3,4,4,1,4,4
"s128",1,4,4,4,4,1,4,4,4,4,3,4,2,1,4
"s129",1,2,3,1,1,2,1,4,2,3,3,4,4,3,4
"s130",1,1,1,4,1,1,1,2,4,3,4,4,4,3,4
"s131",1,1,1,1,2,1,3,4,4,3,4,4,4,4,4
"s132",1,2,1,4,4,1,1,2,2,2,4,4,4,4,4
"s133",1,2,2,3,2,4,4,2,4,2,4,4,4,3,4
"s134",1,1,2,2,2,4,2,3,1,3,4,2,4,4,3
"s135",1,1,1,4,4,1,2,2,4,2,4,4,4,4,4
"s136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s137",1,2,3,2,1,4,1,3,4,3,4,4,1,4,NA
"s138",1,3,1,1,1,4,2,2,1,2,3,2,1,4,4
"s139",1,2,2,4,2,4,4,1,4,3,4,2,1,4,4
"s140",1,2,1,2,1,4,1,1,4,2,3,4,1,4,4
"s141",2,2,1,1,1,1,1,1,4,4,4,4,1,4,2
"s142",1,1,1,1,1,4,1,2,4,3,4,4,4,3,4
"s143",1,2,2,4,2,1,4,2,2,3,4,4,4,4,4
"s144",1,1,4,4,1,1,4,4,2,3,1,4,1,1,4
"s145",1,2,1,4,2,2,4,2,4,3,3,4,4,4,NA
"s146",1,1,1,2,2,1,1,4,4,1,1,4,1,2,4
"s147",1,2,3,4,1,4,3,1,2,3,4,2,1,4,4
"s148",1,2,1,1,1,2,1,2,4,2,4,4,1,2,4
"s149",1,2,3,3,1,1,1,4,1,3,4,4,4,4,4
"s150",2,2,3,4,1,4,1,1,4,3,4,4,4,4,3
"s151",1,4,4,2,1,4,1,4,4,3,4,4,4,4,4
"s152",2,2,1,3,1,1,3,3,4,3,4,4,4,3,4
"s153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
